,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
0,K00010.01,CFRM,3.522498429,3.19843,9145.7,14.59,1521.0,6225.0,4.169,1.451,281.28812,42.45108,Gas Giant,Kepler-8 b
1,K00791.01,CFRM,12.61190435,5.1497,6105.6,7.4,753.0,5795.0,4.508,0.919,289.11221,51.737381,Gas Giant,Kepler-682 b
2,K00813.01,CFRM,3.895936525,2.3111,8544.8,7.34,1005.0,5557.0,4.592,0.774,294.65524,39.308361,Gas Giant,Kepler-688 b
3,K00801.01,CFRM,1.625522174,2.38963,7969.0,9.73,1579.0,5539.0,4.322,1.106,293.87192,38.422939,Gas Giant,Kepler-685 b
4,K00806.02,CFRM,60.32494216,6.6188,20280.0,12.19,411.0,5485.0,4.556,0.867,285.28363,38.947281,Gas Giant,Kepler-30 c
5,K00830.01,CFRM,3.525632539,2.59959,22335.0,11.58,975.0,5150.0,4.572,0.793,290.58173,40.5774,Gas Giant,Kepler-428 b
6,K00824.01,CFRM,15.37562369,3.3169,15337.0,11.01,600.0,4986.0,4.496,0.833,283.25354,40.358189,Gas Giant,Kepler-693 b
7,K00840.01,CFRM,3.04033046,1.8411,10859.0,8.99,1021.0,5035.0,4.519,0.791,299.3161,40.82238,Gas Giant,Kepler-695 b
8,K00850.01,CFRM,10.52629458,2.5211,9768.0,8.24,713.0,5386.0,4.553,0.793,293.87811,41.66177,Gas Giant,Kepler-702 b
9,K00851.01,CFRM,4.583520948,2.7055,3812.1,5.39,1038.0,5815.0,4.54,0.877,299.18686,41.74268,Gas Giant,Kepler-703 b
10,K00872.01,CFRM,33.60123371,4.4056,7425.9,8.46,495.0,5149.0,4.447,0.93,289.26874,42.604172,Gas Giant,Kepler-46 b
