,PlanetName,HostName,PlanetLetter,NumberOfStars,NumberOfPlanets,NumberOfMoons,DiscoveryYear,OrbitalPeriod,OrbitSemiMajorAxis,PlanetEarthRadius,PlanetJupiterRadius,PlanetEarthMass,PlanetJupiterMass,PlanetProvenance,PlanetDensity,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarRadius,StellarMass,StellarMetallicity,StellarMetallicityRatio,StellarLuminosity,StellarSurfaceGravity,StellarAge,StellarDensity,RA[sexagesimal],RA[deg],Dec[sexagesimal],Dec[deg],GalacticLatitude,GalacticLongitude,EclipticLatitude,EclipticLongitude,TotalProperMotion,ProperMotion(RA),ProperMotion(Dec),Distance,Parallax
0,51 Eri b,51 Eri,b,3,1,0,2015,11688.0,13.2,13.4,1.19,635.66,2.0,Mass,1.45,700.0,7295.0,1.49,1.75,-0.027,[M/H],0.85,4.31,0.02,0.70712,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.31361,77.7287954,44.3523,-63.8329,29.7575,33.577
1,55 Cnc b,55 Cnc,b,2,5,0,1996,14.6516,0.1134,13.9,1.24,263.9785,0.8306,Mass,0.54,700.0,5172.0,0.94,0.91,0.35,[Fe/H],-0.197,4.43,5.5,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.73069,539.1329986,-485.872,-233.651,12.5855,79.4274
2,55 Cnc e,55 Cnc,e,2,5,0,2004,0.7365474,0.01544,1.875,0.167,7.99,0.02514,Mass,6.66,1958.0,5172.0,0.94,0.91,0.35,[Fe/H],-0.197,4.43,10.2,1.41,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.73069,539.1329986,-485.872,-233.651,12.5855,79.4274
3,BD+20 594 b,BD+20 594,b,1,1,0,2016,41.6855,0.241,2.578,0.23,22.2481,0.07,Mass,7.89,546.0,5766.0,1.08,1.67,-0.15,[Fe/H],-0.056,4.5,3.34,1.89,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.7966,1.31208,56.29259,63.0539428,36.5714,-51.3647,179.461,5.54366
4,CD Cet b,CD Cet,b,1,1,0,2020,2.2907,0.0185,1.82,0.162,3.9576509126515957,0.01243,Msini,3.6,464.0,3130.0,0.17,0.16,0.13,[Fe/H],-2.533,4.93,3.0,30.35878,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,-43.1678,175.42689,-12.69914,47.24706,1743.982574,1741.86,86.0172,8.60715,116.154
5,CoRoT-1 b,CoRoT-1,b,1,1,0,2008,1.5089557,0.02752,16.7,1.49,327.35,1.03,Mass,0.38,1898.0,5950.0,1.11,0.95,-0.3,[M/H],0.298,4.25,1.6,0.93,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,-2.10712,215.33882,-25.9795,103.44182,6.039454,-6.01462,0.54713,787.909,1.24176
6,CoRoT-10 b,CoRoT-10,b,1,1,0,2010,13.2406,0.1055,10.87,0.97,874.0,2.75,Mass,3.7,600.0,5075.0,0.79,0.89,0.26,[Fe/H],-0.726,4.65,3.0,3.32,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,-6.95299,37.36069,22.5266,292.89599,22.9585905,-3.19635,-22.735,338.386,2.92694
7,CoRoT-11 b,CoRoT-11,b,1,1,0,2010,2.99433,0.0436,16.03,1.43,740.51,2.33,Mass,0.99,1657.0,6440.0,1.37,1.27,-0.03,[Fe/H],0.378,4.22,2.0,0.69,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,4.63005,37.24009,28.92669,282.16613,5.5818875,1.91873,-5.24175,655.037,1.50071
8,CoRoT-12 b,CoRoT-12,b,1,1,0,2010,2.828042,0.04016,16.14,1.44,291.438,0.917,Mass,0.411,1442.0,5675.0,1.12,1.08,0.16,[Fe/H],0.07,4.38,6.3,1.08,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,-2.45441,213.13155,-24.29495,101.82309,3.8659215,1.69419,-3.47492,1126.37,0.861234
9,CoRoT-13 b,CoRoT-13,b,1,1,0,2010,4.03519,0.051,9.92,0.885,415.704,1.308,Mass,2.34,1700.0,5945.0,1.01,1.09,0.01,[Fe/H],0.073,4.46,1.635,1.468,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,-2.43966,217.3986,-27.89339,104.36935,3.6450532,1.63671,-3.25693,1148.93,0.843947
10,CoRoT-14 b,CoRoT-14,b,1,1,0,2010,1.51214,0.027,12.22,1.09,2415.4,7.6,Mass,7.3,1952.0,6035.0,1.21,1.13,0.05,[Fe/H],0.119,4.35,4.2,0.91,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,-2.02059,218.11787,-28.26924,105.21063,3.6035031,-0.118627,-3.60155,1744.6,0.547358
11,CoRoT-17 b,CoRoT-17,b,1,1,0,2011,3.7681,0.0461,11.43,1.02,772.29,2.43,Mass,2.82,1626.0,5740.0,1.59,1.04,0.0,[Fe/H],0.134,4.4,10.7,0.32,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,0.66631,25.15299,16.55509,279.01767,9.2427444,-4.54107,-8.05028,1176.12,0.82338
12,CoRoT-18 b,CoRoT-18,b,1,1,0,2011,1.9000693,0.0295,14.68,1.31,1102.82,3.47,Mass,2.2,1550.0,5440.0,1.0,0.95,-0.1,[Fe/H],-0.17,4.4,0.032,1.35,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,-4.18491,210.8191,-23.2188,98.89828,4.0100233,2.33468,-3.2603,764.889,1.28063
13,CoRoT-19 b,CoRoT-19,b,1,1,0,2011,3.89713,0.0518,14.46,1.29,352.78,1.11,Mass,0.71,2000.0,6090.0,1.65,1.21,-0.02,[Fe/H],0.544,4.07,5.0,0.38,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,-5.26125,210.42057,-23.42296,97.66886,7.6938008,4.79937,-6.01337,790.663,1.23764
14,CoRoT-2 b,CoRoT-2,b,2,1,0,2008,1.7429935,0.02798,16.432,1.466,1102.82,3.47,Mass,1.47,1521.0,5625.0,0.91,0.96,0.04,[Fe/H],-0.131,4.53,2.7,1.814,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,-7.29102,38.26267,23.0439,293.76892,11.4550454,-3.40878,-10.9361,213.283,4.66076
