,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName,StellarSunLuminosity,DistanceFromStarCoreinAU
0,K00010.01,CFRM,3.522498429,3.19843,9145.7,14.59,1521.0,0.9210997815003642,6225.0,4.169,1.451,281.28812,42.45108,Gas Giant,Kepler-8 b,1.9562095076135733,0.05513081554341869
1,K00791.01,CFRM,12.61190435,5.1497,6105.6,7.4,753.0,0.05546249089584851,5795.0,4.508,0.919,289.11221,51.737381,Gas Giant,Kepler-682 b,0.9305073381787243,0.15495310741149496
2,K00813.01,CFRM,3.895936525,2.3111,8544.8,7.34,1005.0,0.1759796067006555,5557.0,4.592,0.774,294.65524,39.308361,Gas Giant,Kepler-688 b,0.6626635422245157,0.07341003673798778
3,K00801.01,CFRM,1.625522174,2.38963,7969.0,9.73,1579.0,1.068761835396941,5539.0,4.322,1.106,293.87192,38.422939,Gas Giant,Kepler-685 b,0.9346975781029919,0.03537815367647218
4,K00806.02,CFRM,60.32494216,6.6188,20280.0,12.19,411.0,0.004930808448652586,5485.0,4.556,0.867,285.28363,38.947281,Gas Giant,Kepler-30 c,0.7045570338055427,0.4522088793805174
5,K00830.01,CFRM,3.525632539,2.59959,22335.0,11.58,975.0,0.15522214129643117,5150.0,4.572,0.793,290.58173,40.5774,Gas Giant,Kepler-428 b,0.5008326498964629,0.06795314405962702
6,K00824.01,CFRM,15.37562369,3.3169,15337.0,11.01,600.0,0.022243262927895118,4986.0,4.496,0.833,283.25354,40.358189,Gas Giant,Kepler-693 b,0.462215630729209,0.17244997675982315
7,K00840.01,CFRM,3.04033046,1.8411,10859.0,8.99,1021.0,0.18739257101238166,5035.0,4.519,0.791,299.3161,40.82238,Gas Giant,Kepler-695 b,0.4564202587975061,0.059039999554994116
8,K00850.01,CFRM,10.52629458,2.5211,9768.0,8.24,713.0,0.04454479242534595,5386.0,4.553,0.793,293.87811,41.66177,Gas Giant,Kepler-702 b,0.5991411014108567,0.1387414282435083
9,K00851.01,CFRM,4.583520948,2.7055,3812.1,5.39,1038.0,0.20027676620538967,5815.0,4.54,0.877,299.18686,41.74268,Gas Giant,Kepler-703 b,0.9003036263650608,0.08020829572414148
10,K00872.01,CFRM,33.60123371,4.4056,7425.9,8.46,495.0,0.010356882738528769,5149.0,4.447,0.93,289.26874,42.604172,Gas Giant,Kepler-46 b,0.5869012651479565,0.2847790698782771
11,K00890.01,CFRM,8.09888906,4.20241,6911.1,8.95,986.0,0.1625564457392571,6214.0,4.442,1.076,282.69952,43.272739,Gas Giant,Kepler-714 b,1.4404155357108777,0.1126112748090361
12,K00903.01,CFRM,5.007316661,4.2362,6932.3,6.96,998.0,0.17063364894391841,5865.0,4.563,0.827,295.53613,43.884449,Gas Giant,Kepler-719 b,0.8785532814299406,0.08584041083265619
13,K00897.01,CFRM,2.052349884,2.0778,14281.0,13.12,1497.0,0.8617479970866716,5855.0,4.393,1.08,299.56189,43.503559,Gas Giant,Kepler-718 b,1.1395198188517295,0.04350216528033972
14,K00898.01,CFRM,9.7704486,2.4517,1897.8,2.23,460.0,0.007713037144938092,3906.0,4.73,0.509,282.23251,43.66563,Gas Giant,Kepler-83 b,0.10637443539261526,0.14049018892282153
15,K00908.01,CFRM,4.708326451,3.16114,7912.7,10.6,1162.0,0.3139257101238164,5560.0,4.246,1.21,298.63565,44.17094,Gas Giant,Kepler-720 b,1.03818575708496,0.06879615471987531
16,K00918.01,CFRM,39.6431552,6.5292,15664.0,10.98,472.0,0.008550619082301529,5231.0,4.455,0.9,283.97751,44.811562,Gas Giant,Kepler-725 b,0.6050230483077825,0.31821984056756314
17,K00127.01,CFRM,3.578780566,2.91089,11382.0,10.43,1145.0,0.29613983976693375,5524.0,4.421,0.994,289.60797,44.345421,Gas Giant,Kepler-77 b,0.8309819565207042,0.06337054648730488
18,K00128.01,CFRM,4.942783419,3.25346,11145.0,10.62,1008.0,0.1780189366351056,5514.0,4.459,0.978,296.20059,49.140121,Gas Giant,Kepler-15 b,0.8117016554456508,0.08078024919114471
19,K00139.01,CFRM,224.7789355,11.1899,3487.5,7.67,333.0,0.0021267297887836854,5873.0,4.293,1.235,291.65317,44.688271,Gas Giant,Kepler-111 c,1.31916005098332,0.9421773558452582
20,K00129.01,CFRM,24.66919273,7.03515,7382.3,77.76,1485.0,0.8380262199563,5313.0,2.936,9.327,297.00943,50.372318,Gas Giant,Kepler-470 b,6.672548977176458,0.10674736305830433
21,K00948.01,CFRM,24.58716355,3.984,907.5,2.37,530.0,0.013634377276037873,5474.0,4.605,0.749,287.56967,46.56786,Gas Giant,Kepler-738 b,0.6037977910149741,0.25174924704189877
22,K00131.01,CFRM,5.014234733,4.589,6536.0,10.63,1308.0,0.5041005098324836,6490.0,4.32,1.307,299.09753,43.497589,Gas Giant,Kepler-471 b,2.08182828396481,0.0768783330433675
23,K01426.02,CFRM,74.92768653,4.74,4119.2,6.39,409.0,0.004821558630735616,5618.0,4.46,0.897,283.20917,48.777641,Gas Giant,Kepler-297 c,0.8022503446470942,0.48797919251064414
24,K01241.01,CFRM,21.4054422,11.721,409.3,11.64,1087.0,0.2403495994173343,4838.0,3.299,4.361,293.75836,41.871868,Gas Giant,Kepler-56 c,2.1450631026142717,0.11301560361794166
25,K00018.01,CFRM,3.548465446,4.56904,7251.5,14.92,1640.0,1.2441951930080117,6290.0,4.074,1.746,299.40701,44.035053,Gas Giant,Kepler-5 b,2.453789766927782,0.05312690179947579
26,K01439.01,CFRM,394.6249514,24.108,2013.3,7.79,325.0,0.001930080116533139,5910.0,4.03,1.727,290.85178,48.521339,Gas Giant,Kepler-849 b,1.8916151817634586,1.1843192845995238
27,K01320.01,CFRM,10.50682978,3.7769,13356.0,9.01,668.0,0.034384559359067736,5127.0,4.589,0.782,293.36285,39.212448,Gas Giant,Kepler-816 b,0.48512153372924255,0.14209657780723967
28,K01450.01,CFRM,2.144632238,6.2701,19837.0,59.19,1736.0,1.5635979606700656,6296.0,4.24,1.305,293.35129,43.13464,Gas Giant,Kepler-854 b,1.8410259873484065,0.041049463529756455
29,K01323.01,CFRM,3.990105908,2.4108,6154.9,7.45,1124.0,0.27569555717407135,5926.0,4.519,0.913,296.08185,39.161621,Gas Giant,Kepler-817 b,1.0108993002996778,0.07244011618117943
30,K01456.01,CFRM,7.886632468,5.2147,6331.2,8.99,996.0,0.16902403495994173,5847.0,4.304,1.135,295.095,43.537579,Gas Giant,Kepler-855 b,1.1910192111490858,0.10042115793143262
31,K01457.01,CFRM,8.027681123,3.0942,8725.4,8.43,824.0,0.07964311726147123,5569.0,4.546,0.887,289.60382,46.314949,Gas Giant,Kepler-856 b,0.7659898611398922,0.11732146016517407
32,K01278.02,CFRM,44.3471936,6.43,791.7,2.45,484.0,0.009468317552804079,5600.0,4.455,0.872,284.67728,44.79768,Gas Giant,Kepler-282 e,0.769943971316995,0.34114045771480667
33,K01215.01,CFRM,17.32419108,8.045,241.3,3.14,964.0,0.14865258557902403,5968.0,3.972,1.857,286.58316,39.077202,Gas Giant,Kepler-277 b,2.115035647106098,0.1426962913202568
34,K01215.02,CFRM,33.0063185,7.118,278.1,3.13,778.0,0.06291332847778587,5968.0,3.972,1.857,286.58316,39.077202,Gas Giant,Kepler-277 c,2.115035647106098,0.2193449239329764
35,K01409.01,CFRM,16.56062577,2.611,700.8,2.94,701.0,0.041718863801893664,5818.0,4.436,0.855,285.24667,45.950191,Gas Giant,Kepler-837 b,0.8795317310455755,0.1736999102437357
36,K01288.01,CFRM,117.931108,5.8796,8506.6,10.36,418.0,0.005243991260014567,6392.0,4.425,1.072,289.02017,48.119808,Gas Giant,Kepler-807 b,1.6066910719798604,0.6621788184456404
37,K01353.01,CFRM,125.8654019,9.0191,12390.0,12.37,394.0,0.00415877640203933,5933.0,4.342,1.115,297.46533,42.882839,Gas Giant,Kepler-289 c,1.2404029503909606,0.6533391508593513
38,K01416.01,CFRM,2.495780169,4.2721,25070.0,15.75,1408.0,0.6769628550619082,6039.0,4.426,0.992,296.50739,49.457291,Gas Giant,Kepler-840 b,1.1845743389379548,0.050042478858378
39,K00017.01,CFRM,3.234699282,3.59385,10559.0,13.06,1356.0,0.5809322651128915,5640.0,4.236,1.291,296.83725,48.239944,Gas Giant,Kepler-6 b,1.1728249276100786,0.05375191223773795
40,K01299.01,CFRM,52.5008645,14.9066,946.7,12.41,812.0,0.07497450837581937,4976.0,3.331,4.157,293.2822,48.2859,Gas Giant,Kepler-432 b,2.2881897775735247,0.20899181669209577
41,K01426.01,CFRM,38.86848956,6.0573,1004.9,2.81,509.0,0.011573197378004371,5618.0,4.46,0.897,283.20917,48.777641,Gas Giant,Kepler-297 b,0.8022503446470942,0.31496939058133716
42,K01236.01,CFRM,35.7353616,8.491,778.8,5.47,774.0,0.061660597232337945,6366.0,4.045,1.697,287.3912,42.194832,Gas Giant,Kepler-279 c,2.5022973114343388,0.24099368649172487
43,K01606.01,CFRM,5.082748362,1.7732,276.7,1.4,928.0,0.12750182083029862,5430.0,4.555,0.858,290.05112,46.713371,Gas Giant,Kepler-905 b,0.6696951226990223,0.08670026971755049
44,K00192.01,CFRM,10.29099413,4.28889,9655.7,13.43,996.0,0.16975965040058266,5803.0,4.134,1.373,288.25458,43.704868,Gas Giant,Kepler-427 b,1.3978846929785202,0.10855716986293602
45,K00188.01,CFRM,3.797018259,2.2608,14431.0,10.07,982.0,0.15997086671522212,5167.0,4.527,0.848,290.35803,40.567741,Gas Giant,Kepler-425 b,0.5426755165040676,0.06967704744109837
46,K00189.01,CFRM,30.36044536,6.0134,21125.0,10.99,459.0,0.007625637290604516,4939.0,4.541,0.765,284.87997,49.266991,Gas Giant,Kepler-486 b,0.4087032296802131,0.2769529762140551
47,K01569.01,CFRM,13.75207851,2.8831,1215.6,2.81,556.0,0.016438455935906773,4802.0,4.616,0.699,283.12964,43.888241,Gas Giant,Kepler-892 b,0.3337000935949258,0.17044635853548484
48,K00022.01,CFRM,7.891448838,4.2854,10345.0,12.63,1028.0,0.1919446467589221,5972.0,4.313,1.237,282.62967,46.32336,Gas Giant,Kepler-422 b,1.4126657819754243,0.10262939875018316
49,K00194.01,CFRM,3.120828136,2.1878,16456.0,14.16,1303.0,0.4958412235979606,6122.0,4.471,0.996,282.96616,48.34507,Gas Giant,Kepler-488 b,1.2560969737921508,0.06021162432603213
50,K01574.01,CFRM,114.73658,12.0355,4850.0,12.28,476.0,0.008834668608885652,5597.0,3.963,1.699,297.91687,46.96513,Gas Giant,Kepler-87 b,1.4969425607519302,0.4924334095345338
51,K01519.01,CFRM,5.1443645,2.703,310.7,1.55,923.0,0.12500364166059724,5157.0,4.445,0.904,283.47818,43.383781,Gas Giant,Kepler-876 b,0.5740470453327189,0.08106856475648173
52,K00183.01,CFRM,2.684328541,2.69382,18136.0,12.73,1265.0,0.43959941733430447,5561.0,4.411,0.956,292.85574,46.391178,Gas Giant,Kepler-423 b,0.8208428175414447,0.05169416457370225
53,K00195.01,CFRM,3.217518511,2.11481,14319.0,11.38,1185.0,0.3384777858703569,5720.0,4.473,0.903,289.43463,49.4734,Gas Giant,Kepler-426 b,0.8678854255966612,0.06057678021172918
54,K01474.01,CFRM,69.72646639,3.7177,4491.2,11.65,613.0,0.024253459577567367,6430.0,4.107,1.731,295.41788,51.184761,Gas Giant,Kepler-419 b,2.6566325496048693,0.39593051109397476
55,K00020.01,CFRM,4.437962934,4.69813,16388.0,18.05,1338.0,0.5518208302986162,5953.0,4.175,1.415,286.24344,50.040379,Gas Giant,Kepler-12 b,1.595476823692079,0.06432596035687213
56,K00186.01,CFRM,3.24325988,3.03318,16451.0,12.91,1243.0,0.4101747997086671,5823.0,4.438,1.013,294.99631,50.470058,Gas Giant,Kepler-485 b,1.0456519113156681,0.060401698950921685
57,K01553.01,CFRM,52.75878505,6.6517,5805.8,8.76,540.0,0.014624908958485068,6228.0,4.413,1.137,288.43576,43.763489,Gas Giant,Kepler-890 b,1.535838004677598,0.3876735698245929
58,K00205.01,CFRM,11.720124,3.0039,9763.3,7.94,660.0,0.032694828841951934,5215.0,4.564,0.77,295.49667,42.537891,Gas Giant,Kepler-492 b,0.5113267413703263,0.14960626921199566
59,K00219.01,CFRM,8.025118521,5.3694,3120.4,7.79,1093.0,0.24525127458120904,6002.0,4.196,1.369,297.21408,41.66404,Gas Giant,Kepler-494 b,1.5950633721172869,0.09647691517709588
60,K00206.01,CFRM,5.334082429,6.2226,4676.5,13.08,1495.0,0.8598980335032775,6332.0,4.016,1.905,297.59366,40.977268,Gas Giant,Kepler-433 b,2.7494709447888477,0.06764585079916195
61,K00214.01,CFRM,3.311864148,1.4049,5976.5,9.06,1116.0,0.26652585579024035,5461.0,4.499,0.937,298.62488,48.57745,Gas Giant,Kepler-424 b,0.7482019347039941,0.0633840249894828
62,K00200.01,CFRM,7.340714946,2.9987,8510.5,14.31,1155.0,0.30664967225054623,6056.0,4.191,1.498,293.09253,41.355518,Gas Giant,Kepler-74 b,1.8090301671824711,0.09188438780565894
63,K00208.01,CFRM,3.003879547,3.2848,8538.0,10.96,1438.0,0.7369774217042971,6311.0,4.398,1.172,295.30753,38.881641,Gas Giant,Kepler-493 b,1.6692095555821782,0.05693356956528716
64,K00209.01,CFRM,50.79034648,10.8474,5671.1,10.6,612.0,0.024122359796067003,6163.0,4.185,1.406,288.79303,48.04023,Gas Giant,Kepler-117 c,1.8211449817123124,0.328702070140718
65,K00201.01,CFRM,4.225384543,2.82038,7563.0,9.0,1111.0,0.2625345957756737,5574.0,4.403,1.054,287.13058,42.350151,Gas Giant,Kepler-491 b,0.913479905345599,0.07056613033679877
66,K00216.01,CFRM,20.17202467,3.1488,5368.1,6.24,564.0,0.01747997086671522,5064.0,4.474,0.864,299.21317,41.424831,Gas Giant,Kepler-118 c,0.5101278808110673,0.2043662857354186
67,K01787.01,CFRM,98.7179332,6.593,7320.0,6.99,360.0,0.0028914785142024764,5808.0,4.583,0.786,287.95657,41.130329,Gas Giant,Kepler-950 b,0.8030073244982613,0.6304343127191807
68,K00202.01,CFRM,1.72086129,2.0243,10184.0,13.25,1647.0,1.2699271667880552,5742.0,4.297,1.215,286.11032,43.680962,Gas Giant,Kepler-412 b,1.1858221558131832,0.036556149708028764
69,K01790.01,CFRM,130.3543929,6.474,5128.7,7.7,369.0,0.003175528040786599,5970.0,4.463,1.015,285.37195,41.993912,Gas Giant,Kepler-952 b,1.1575876815579162,0.7222857491882358
70,K00196.01,CFRM,1.855557556,2.35672,10570.0,10.05,1436.0,0.7318936635105608,5657.0,4.441,0.947,294.51324,45.98164,Gas Giant,Kepler-41 b,0.8707334403972546,0.04126279975168385
71,K01797.01,CFRM,16.78175788,3.7386,908.0,2.25,545.0,0.015163874726875455,4925.0,4.588,0.742,295.85938,47.93951,Gas Giant,Kepler-954 b,0.3919398070151281,0.19232895291953975
72,K01800.01,CFRM,7.794302043,1.1081,3387.4,16.51,882.0,0.1040203932993445,5494.0,4.405,0.982,285.26859,48.560009,Gas Giant,Kepler-447 b,0.8032609193376946,0.10512575967773038
73,K00203.01,CFRM,1.485710994,2.2874,20824.0,14.48,1562.0,1.023168244719592,5624.0,4.432,1.018,298.39526,47.81501,Gas Giant,Kepler-17 b,0.9143649201437651,0.035762372749014136
74,K01873.01,CFRM,71.3116598,8.813,2138.0,4.94,475.0,0.008747268754552076,6194.0,4.445,1.069,295.8093,40.008511,Gas Giant,Kepler-328 c,1.4127100642730492,0.4807622493424661
75,K00197.01,CFRM,17.27629668,3.94738,10458.0,7.31,538.0,0.014479242534595775,4941.0,4.599,0.738,290.83313,38.184349,Gas Giant,Kepler-489 b,0.3949174346534918,0.19756968442468223
76,K02133.01,CFRM,6.24667547,11.261,396.8,14.93,1902.0,2.2547924253459577,4604.0,2.936,6.221,285.67288,44.11673,Gas Giant,Kepler-91 b,2.5095276841086465,0.039910097233757026
77,K00238.01,CFRM,17.23232894,4.5568,509.8,2.79,817.0,0.07681718863801894,6086.0,4.274,1.216,296.99863,42.78196,Gas Giant,Kepler-123 b,1.4977933459086448,0.1670462835952616
78,K02154.01,CFRM,11.92979348,6.152,709.3,2.43,770.0,0.06048069919883467,5831.0,4.517,0.921,288.30869,51.478291,Gas Giant,Kepler-1799 b,0.9559217115546602,0.15039826809537113
79,K00254.01,CFRM,2.455240626,1.72722,36912.0,10.6,730.0,0.04901675163874727,3793.0,4.697,0.568,292.87289,41.06427,Gas Giant,Kepler-45 b,0.10555291618173789,0.055514052098890466
80,K02493.01,CFRM,0.663085361,1.1522,322.7,1.6,1681.0,1.3801456664238894,5172.0,4.6,0.767,297.84149,46.967682,Gas Giant,Kepler-1259 b,0.49274242736598906,0.022604119272341246
81,K00004.01,CFRM,3.849371737,2.632,1298.6,12.94,2034.0,2.9535979606700655,6244.0,3.657,2.992,294.35654,38.94738,Gas Giant,Kepler-1658 b,4.083228618433187,0.04448014891124798
82,K02672.02,CFRM,42.9923284,4.726,1120.1,3.32,496.0,0.01043699927166788,5593.0,4.45,0.945,296.13281,48.977402,Gas Giant,Kepler-396 b,0.8302361045526176,0.3374061972922637
83,K02674.01,CFRM,197.5111484,11.106,2575.6,9.52,391.0,0.00403495994173343,5616.0,4.004,1.674,289.65125,43.824421,Gas Giant,Kepler-1311 d,1.4950453962478527,0.7281949288896616
84,K02744.01,CFRM,109.6469948,6.568,899.7,4.85,428.0,0.0057902403495994174,5332.0,4.083,1.453,293.52756,41.111439,Gas Giant,Kepler-1333 b,1.0544274589278058,0.5105051549056697
85,K00285.01,CFRM,13.74883059,6.0968,425.9,3.63,975.0,0.15574654042243263,5862.0,4.05,1.67,289.08606,41.562958,Gas Giant,Kepler-92 b,1.7704768700153186,0.12754868879361395
86,K00046.01,CFRM,3.487688776,3.83661,1298.8,5.64,1445.0,0.7524180626365622,5576.0,4.065,1.593,283.25549,48.355232,Gas Giant,Kepler-101 b,1.382602589660977,0.05128131469128826
87,K00367.01,CFRM,31.57865122,2.12791,2125.4,4.52,570.0,0.018164603058994904,5733.0,4.442,0.99,284.47217,39.911812,Gas Giant,Kepler-1656 b,0.9601818481093384,0.27504506927692157
88,K00370.01,CFRM,42.88247951,9.7471,408.9,3.61,709.0,0.043408594319009466,6143.0,4.039,1.763,291.38776,44.52911,Gas Giant,Kepler-145 c,2.2540570479490265,0.2726055317893469
89,K00063.01,CFRM,9.43414171,2.8112,3977.0,5.73,791.0,0.06729060451565914,5578.0,4.518,0.886,289.22617,49.548199,Gas Giant,Kepler-63 b,0.7700843391627156,0.12797702339741368
90,K00372.01,CFRM,125.6291479,9.108,7841.6,10.02,388.0,0.0038965768390386013,5819.0,4.334,1.111,299.12244,41.86676,Gas Giant,Kepler-539 b,1.1436628593505254,0.6481081165366553
91,K00375.01,CFRM,988.8811177,5.9504,5060.0,10.81,223.0,0.0004224326292789512,5755.0,4.101,1.549,291.2012,51.144279,Gas Giant,Kepler-1704 b,1.5255388057949404,2.273384923433083
92,K00377.01,CFRM,19.27082584,4.1281,6660.5,7.74,661.0,0.03281136198106336,5779.0,4.491,0.956,285.57397,38.400902,Gas Giant,Kepler-9 b,0.9573245581665728,0.20434195538657748
93,K00318.01,CFRM,38.5833679,12.391,1388.2,8.56,761.0,0.05759650400582666,6273.0,4.04,1.927,288.15399,44.068821,Gas Giant,Kepler-522 b,2.679004201028034,0.2580053488058645
94,K03115.01,CFRM,5.8660127,3.985,183.0,1.45,1064.0,0.22051711580480698,6020.0,4.427,1.04,292.65839,49.865189,Gas Giant,Kepler-1431 b,1.2263370071700357,0.08921211575904778
95,K00423.01,CFRM,21.0871953,5.92691,8894.7,14.43,873.0,0.09982520029133285,6266.0,4.101,1.522,296.96027,46.034302,Gas Giant,Kepler-39 b,2.1065256150399545,0.17378142378678402
96,K00428.01,CFRM,6.8731664,6.8569,3753.8,13.44,1482.0,0.8307064821558631,6490.0,3.942,2.179,296.81369,47.526611,Gas Giant,Kepler-40 b,3.470775693006367,0.0773267127010266
97,K00490.02,CFRM,1071.232624,16.1784,19046.0,9.27,129.0,5.0983248361252736e-05,4799.0,4.631,0.692,292.65842,38.34539,Gas Giant,Kepler-167 e,0.3295335401883392,3.04141815887977
98,K00508.01,CFRM,7.930583519,3.6083,826.1,3.05,899.0,0.11242534595775674,5674.0,4.446,1.032,284.52118,41.629601,Gas Giant,Kepler-170 b,0.9603456045272641,0.11056603460325155
99,K00464.01,CFRM,58.36205791,6.3363,5374.7,7.02,446.0,0.006795338674435543,5592.0,4.467,0.953,293.7471,45.10722,Gas Giant,Kepler-561 b,0.8366659243144202,0.4197691920509794
100,K00089.01,CFRM,84.6877524,10.0248,347.7,3.37,611.0,0.02400582665695557,6688.0,4.062,1.79,299.82117,43.81427,Gas Giant,Kepler-462 b,3.2153526987240193,0.43782045738343206
101,K00412.01,CFRM,4.147021189,2.8997,3680.7,7.31,1258.0,0.4303277494537509,5818.0,4.266,1.205,283.2576,40.990501,Gas Giant,Kepler-546 b,1.2395739601285598,0.06420614866765526
102,K00470.01,CFRM,3.750832927,1.9457,2397.9,4.61,1129.0,0.27951201747997084,5776.0,4.512,0.95,296.83838,46.6264,Gas Giant,Kepler-564 b,0.9493423899181974,0.0697190190918276
103,K00631.01,CFRM,15.45805668,8.79536,4253.2,9.11,871.0,0.09934450109249818,5868.0,4.169,1.407,290.44928,39.854801,Gas Giant,Kepler-628 b,1.497769725612394,0.14688947594116838
104,K00614.01,CFRM,12.87471243,2.2491,3860.7,11.26,926.0,0.12636562272396212,5963.0,4.218,1.424,293.58636,42.928909,Gas Giant,Kepler-434 b,1.6164406240934384,0.13530239410393086
105,K00666.01,CFRM,22.24814617,4.1483,613.7,2.72,609.0,0.023729060451565913,5629.0,4.503,0.943,296.0322,42.131672,Gas Giant,Kepler-640 b,0.8500162282530322,0.22641928321672916
106,K00674.01,CFRM,16.33888067,9.3599,1718.4,10.47,963.0,0.14807720320466133,4877.0,3.645,2.595,290.32733,42.898281,Gas Giant,Kepler-643 b,1.3180713324232858,0.11286659663789238
107,K00680.01,CFRM,8.600153929,9.0015,4510.2,26.52,1703.0,1.4470138383102695,6093.0,3.475,3.913,292.28732,43.197281,Gas Giant,Kepler-435 b,4.842003401899967,0.06920162247054998
108,K03439.01,CFRM,41.7084063,8.567,330.0,2.19,608.0,0.023481427530954117,6434.0,4.394,1.138,296.10791,39.319908,Gas Giant,Kepler-1502 b,1.7508825651933493,0.3266678055554937
109,K03678.01,CFRM,160.8845197,10.8771,7590.4,9.09,346.0,0.002469045884923525,5650.0,4.313,1.044,289.7916,39.285328,Gas Giant,Kepler-1513 b,0.9551791188313683,0.744077039411876
110,K03681.01,CFRM,217.8318429,21.306,9148.7,11.17,343.0,0.0023962126729788783,6259.0,4.385,1.167,292.62747,37.860142,Gas Giant,Kepler-1514 b,1.6079820341115576,0.9799817537481692
111,K03683.01,CFRM,214.3120439,16.2938,4523.4,9.17,380.0,0.003590677348871085,6471.0,4.287,1.357,290.97394,48.178162,Gas Giant,Kepler-1515 b,2.136269188971185,0.9227411133674166
112,K03762.01,CFRM,240.7990472,16.666,5022.9,10.31,342.0,0.0023452294246176257,5758.0,4.168,1.385,296.66791,49.461861,Gas Giant,Kepler-1519 b,1.3668691617528588,0.9132945781577645
113,K02076.02,CFRM,219.3215562,12.4124,3628.7,6.11,313.0,0.0016533139111434814,6063.0,4.476,1.012,287.47763,46.141178,Gas Giant,Kepler-1085 b,1.2277821503928412,1.030915505348573
114,K03728.01,CFRM,5.546083089,2.717,2211.0,22.27,2336.0,5.118055353241078,7358.0,3.538,4.037,287.80722,43.188782,Gas Giant,Kepler-1517 b,10.624008591319315,0.05450442862776908
