,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName,StellarSunLuminosity,DistanceFromStarCoreinAU,StarClassification,MainSequence,PlanetEarthSize,StellarSunSize
0,K00010.01,CFRM,3.522498429,3.19843,9145.7,14.59,1521.0,1264.67,6225.0,4.169,1.451,281.28812,42.45108,Gas Giant,Kepler-8 b,1.9562095076135733,0.0014878499967667105,F,0,13009.316659873835,12.796489557709783
1,K00791.01,CFRM,12.61190435,5.1497,6105.6,7.4,753.0,76.15,5795.0,4.508,0.919,289.11221,51.737381,Gas Giant,Kepler-682 b,0.9305073381787243,0.00418181697638076,G,0,1697.3983219443608,3.251136047768887
2,K00813.01,CFRM,3.895936525,2.3111,8544.8,7.34,1005.0,241.62,5557.0,4.592,0.774,294.65524,39.308361,Gas Giant,Kepler-688 b,0.6626635422245157,0.0019811628369117763,G,0,1656.4441179883038,1.9422784488793017
3,K00801.01,CFRM,1.625522174,2.38963,7969.0,9.73,1579.0,1467.41,5539.0,4.322,1.106,293.87192,38.422939,Gas Giant,Kepler-685 b,0.9346975781029919,0.0009547724863909615,G,1,3858.5766344189606,5.667010146285947
4,K00806.02,CFRM,60.32494216,6.6188,20280.0,12.19,411.0,6.77,5485.0,4.556,0.867,285.28363,38.947281,Gas Giant,Kepler-30 c,0.7045570338055427,0.012204045470618824,G,0,7587.517856541905,2.729894740053002
5,K00830.01,CFRM,3.525632539,2.59959,22335.0,11.58,975.0,213.12,5150.0,4.572,0.793,290.58173,40.5774,Gas Giant,Kepler-428 b,0.5008326498964629,0.0018338942417744316,K,1,6504.505533342224,2.088854409471346
6,K00824.01,CFRM,15.37562369,3.3169,15337.0,11.01,600.0,30.54,4986.0,4.496,0.833,283.25354,40.358189,Gas Giant,Kepler-693 b,0.462215630729209,0.0046540159951461435,K,1,5590.498898210526,2.4211606868587165
7,K00840.01,CFRM,3.04033046,1.8411,10859.0,8.99,1021.0,257.29,5035.0,4.519,0.791,299.3161,40.82238,Gas Giant,Kepler-695 b,0.4564202587975061,0.0015933496045931596,K,1,3043.4606046364106,2.0730895372996745
8,K00850.01,CFRM,10.52629458,2.5211,9768.0,8.24,713.0,61.16,5386.0,4.553,0.793,293.87811,41.66177,Gas Giant,Kepler-702 b,0.5991411014108567,0.003744302193406515,G,0,2343.5285269020765,2.088854409471346
9,K00851.01,CFRM,4.583520948,2.7055,3812.1,5.39,1038.0,274.98,5815.0,4.54,0.877,299.18686,41.74268,Gas Giant,Kepler-703 b,0.9003036263650608,0.0021646317283269966,G,0,655.9260887866785,2.8254484587828417
10,K00872.01,CFRM,33.60123371,4.4056,7425.9,8.46,495.0,14.22,5149.0,4.447,0.93,289.26874,42.604172,Gas Giant,Kepler-46 b,0.5869012651479565,0.007685511886975924,K,1,2536.294607996727,3.3692827227513673
11,K00890.01,CFRM,8.09888906,4.20241,6911.1,8.95,986.0,223.19,6214.0,4.442,1.076,282.69952,43.272739,Gas Giant,Kepler-714 b,1.4404155357108777,0.003039111306607922,F,0,3003.016478041171,5.218256506515164
12,K00903.01,CFRM,5.007316661,4.2362,6932.3,6.96,998.0,234.28,5865.0,4.563,0.827,295.53613,43.884449,Gas Giant,Kepler-719 b,0.8785532814299406,0.002316629161403129,G,0,1412.2654291058955,2.369218624366653
13,K00897.01,CFRM,2.052349884,2.0778,14281.0,13.12,1497.0,1183.18,5855.0,4.393,1.08,299.56189,43.503559,Gas Giant,Kepler-718 b,1.1395198188517295,0.0011740202976087653,G,1,9459.977738783384,5.276669286451874
14,K00898.01,CFRM,9.7704486,2.4517,1897.8,2.23,460.0,10.59,3906.0,4.73,0.509,282.23251,43.66563,Gas Giant,Kepler-83 b,0.10637443539261526,0.003791497097842724,K,0,46.451869624922395,0.5523851011185479
15,K00908.01,CFRM,4.708326451,3.16114,7912.7,10.6,1162.0,431.02,5560.0,4.246,1.21,298.63565,44.17094,Gas Giant,Kepler-720 b,1.03818575708496,0.0018566451007225805,G,0,4988.916154543867,7.420697363981582
16,K00918.01,CFRM,39.6431552,6.5292,15664.0,10.98,472.0,11.74,5231.0,4.455,0.9,283.97751,44.811562,Gas Giant,Kepler-725 b,0.6050230483077825,0.008587999000063264,G,0,5544.924404204318,3.053628059289279
17,K00127.01,CFRM,3.578780566,2.91089,11382.0,10.43,1145.0,406.6,5524.0,4.421,0.994,289.60797,44.345421,Gas Giant,Kepler-77 b,0.8309819565207042,0.0017102207986019306,G,1,4752.712398612597,4.113843465663669
18,K00128.01,CFRM,4.942783419,3.25346,11145.0,10.62,1008.0,244.42,5514.0,4.459,0.978,296.20059,49.140121,Gas Giant,Kepler-15 b,0.8117016554456508,0.0021800673963040334,G,1,5017.208617510181,3.9183675724097378
19,K00139.01,CFRM,224.7789355,11.1899,3487.5,7.67,333.0,2.92,5873.0,4.293,1.235,291.65317,44.688271,Gas Giant,Kepler-111 c,1.31916005098332,0.025427132938819357,G,0,1890.0561270010066,7.890226712017725
20,K00129.01,CFRM,24.66919273,7.03515,7382.3,77.76,1485.0,1150.61,5313.0,2.936,9.327,297.00943,50.372318,Gas Giant,Kepler-470 b,6.672548977176458,0.002880858231746452,G,0,1969506.2578295893,3398.7133670719486
21,K00948.01,CFRM,24.58716355,3.984,907.5,2.37,530.0,18.72,5474.0,4.605,0.749,287.56967,46.56786,Gas Giant,Kepler-738 b,0.6037977910149741,0.006794115282084286,G,0,55.7613972119973,1.7600867047628521
22,K00131.01,CFRM,5.014234733,4.589,6536.0,10.63,1308.0,692.13,6490.0,4.32,1.307,299.09753,43.497589,Gas Giant,Kepler-471 b,2.08182828396481,0.002074763930889448,F,1,5031.394872883748,9.352234158846743
23,K01426.02,CFRM,74.92768653,4.74,4119.2,6.39,409.0,6.62,5618.0,4.46,0.897,283.20917,48.777641,Gas Giant,Kepler-297 c,0.8022503446470942,0.013169401410856797,G,0,1092.9270723282848,3.023193453201027
24,K01241.01,CFRM,21.4054422,11.721,409.3,11.64,1087.0,330.0,4838.0,3.299,4.361,293.75836,41.871868,Gas Giant,Kepler-56 c,2.1450631026142717,0.0030500231824997096,K,0,6606.136608606162,347.4136430397115
25,K00018.01,CFRM,3.548465446,4.56904,7251.5,14.92,1640.0,1708.28,6290.0,4.074,1.746,299.40701,44.035053,Gas Giant,Kepler-5 b,2.453789766927782,0.0014337691160821488,F,0,13912.176497013996,22.29571105404579
26,K01439.01,CFRM,394.6249514,24.108,2013.3,7.79,325.0,2.65,5910.0,4.03,1.727,290.85178,48.521339,Gas Giant,Kepler-849 b,1.8916151817634586,0.03196196947920002,G,0,1980.1631869603043,21.57573612621396
27,K01320.01,CFRM,10.50682978,3.7769,13356.0,9.01,668.0,47.21,5127.0,4.589,0.782,293.36285,39.212448,Gas Giant,Kepler-816 b,0.48512153372924255,0.0038348497250971737,K,1,3063.8181334092524,2.003128769611982
28,K01450.01,CFRM,2.144632238,6.2701,19837.0,59.19,1736.0,2146.82,6296.0,4.24,1.305,293.35129,43.13464,Gas Giant,Kepler-854 b,1.8410259873484065,0.001107827692697978,F,1,868627.6091731386,9.309366842250775
29,K01323.01,CFRM,3.990105908,2.4108,6154.9,7.45,1124.0,378.53,5926.0,4.519,0.913,296.08185,39.161621,Gas Giant,Kepler-817 b,1.0108993002996778,0.001954986980757885,G,0,1732.038046141617,3.1878724896010056
30,K01456.01,CFRM,7.886632468,5.2147,6331.2,8.99,996.0,232.07,5847.0,4.304,1.135,295.095,43.537579,Gas Giant,Kepler-855 b,1.1910192111490858,0.002710128954757092,G,1,3043.4606046364106,6.124578336871677
31,K01457.01,CFRM,8.027681123,3.0942,8725.4,8.43,824.0,109.35,5569.0,4.546,0.887,289.60382,46.314949,Gas Giant,Kepler-856 b,0.7659898611398922,0.003166228041555934,G,0,2509.408317713368,2.923206318918441
