ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
K00010.01,CFRM,3.522498429,3.19843,9145.7,14.59,1521,1264.67,6225,4.169,1.451,281.28812,42.45108,Gas Giant,Kepler-8 b
K00791.01,CFRM,12.61190435,5.1497,6105.6,7.4,753,76.15,5795,4.508,0.919,289.11221,51.737381,Gas Giant,Kepler-682 b
K00813.01,CFRM,3.895936525,2.3111,8544.8,7.34,1005,241.62,5557,4.592,0.774,294.65524,39.308361,Gas Giant,Kepler-688 b
K00801.01,CFRM,1.625522174,2.38963,7969,9.73,1579,1467.41,5539,4.322,1.106,293.87192,38.422939,Gas Giant,Kepler-685 b
K00806.02,CFRM,60.32494216,6.6188,20280,12.19,411,6.77,5485,4.556,0.867,285.28363,38.947281,Gas Giant,Kepler-30 c
K00830.01,CFRM,3.525632539,2.59959,22335,11.58,975,213.12,5150,4.572,0.793,290.58173,40.5774,Gas Giant,Kepler-428 b
K00824.01,CFRM,15.37562369,3.3169,15337,11.01,600,30.54,4986,4.496,0.833,283.25354,40.358189,Gas Giant,Kepler-693 b
K00840.01,CFRM,3.04033046,1.8411,10859,8.99,1021,257.29,5035,4.519,0.791,299.3161,40.82238,Gas Giant,Kepler-695 b
K00850.01,CFRM,10.52629458,2.5211,9768,8.24,713,61.16,5386,4.553,0.793,293.87811,41.66177,Gas Giant,Kepler-702 b
K00851.01,CFRM,4.583520948,2.7055,3812.1,5.39,1038,274.98,5815,4.54,0.877,299.18686,41.74268,Gas Giant,Kepler-703 b
K00872.01,CFRM,33.60123371,4.4056,7425.9,8.46,495,14.22,5149,4.447,0.93,289.26874,42.604172,Gas Giant,Kepler-46 b
K00890.01,CFRM,8.09888906,4.20241,6911.1,8.95,986,223.19,6214,4.442,1.076,282.69952,43.272739,Gas Giant,Kepler-714 b
K00903.01,CFRM,5.007316661,4.2362,6932.3,6.96,998,234.28,5865,4.563,0.827,295.53613,43.884449,Gas Giant,Kepler-719 b
K00897.01,CFRM,2.052349884,2.0778,14281,13.12,1497,1183.18,5855,4.393,1.08,299.56189,43.503559,Gas Giant,Kepler-718 b
K00898.01,CFRM,9.7704486,2.4517,1897.8,2.23,460,10.59,3906,4.73,0.509,282.23251,43.66563,Gas Giant,Kepler-83 b
K00908.01,CFRM,4.708326451,3.16114,7912.7,10.6,1162,431.02,5560,4.246,1.21,298.63565,44.17094,Gas Giant,Kepler-720 b
K00918.01,CFRM,39.6431552,6.5292,15664,10.98,472,11.74,5231,4.455,0.9,283.97751,44.811562,Gas Giant,Kepler-725 b
K00127.01,CFRM,3.578780566,2.91089,11382,10.43,1145,406.6,5524,4.421,0.994,289.60797,44.345421,Gas Giant,Kepler-77 b
K00128.01,CFRM,4.942783419,3.25346,11145,10.62,1008,244.42,5514,4.459,0.978,296.20059,49.140121,Gas Giant,Kepler-15 b
K00139.01,CFRM,224.7789355,11.1899,3487.5,7.67,333,2.92,5873,4.293,1.235,291.65317,44.688271,Gas Giant,Kepler-111 c
K00129.01,CFRM,24.66919273,7.03515,7382.3,77.76,1485,1150.61,5313,2.936,9.327,297.00943,50.372318,Gas Giant,Kepler-470 b
K00948.01,CFRM,24.58716355,3.984,907.5,2.37,530,18.72,5474,4.605,0.749,287.56967,46.56786,Gas Giant,Kepler-738 b
K00131.01,CFRM,5.014234733,4.589,6536,10.63,1308,692.13,6490,4.32,1.307,299.09753,43.497589,Gas Giant,Kepler-471 b
K01426.02,CFRM,74.92768653,4.74,4119.2,6.39,409,6.62,5618,4.46,0.897,283.20917,48.777641,Gas Giant,Kepler-297 c
K01241.01,CFRM,21.4054422,11.721,409.3,11.64,1087,330,4838,3.299,4.361,293.75836,41.871868,Gas Giant,Kepler-56 c
K00018.01,CFRM,3.548465446,4.56904,7251.5,14.92,1640,1708.28,6290,4.074,1.746,299.40701,44.035053,Gas Giant,Kepler-5 b
K01439.01,CFRM,394.6249514,24.108,2013.3,7.79,325,2.65,5910,4.03,1.727,290.85178,48.521339,Gas Giant,Kepler-849 b
K01320.01,CFRM,10.50682978,3.7769,13356,9.01,668,47.21,5127,4.589,0.782,293.36285,39.212448,Gas Giant,Kepler-816 b
