ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetType,PlanetName,StarSunDiameter,PlanetEarthVolume,StarClassification,MainSequence,PlanetEarthTemperature,StarSunMass
K00010.01,CFRM,0.00964407509650924,3.19843,9145.7,Gas Giant,Kepler-8 b,0.6334729404388715,0.00035945029600777947,F,0,5.964705882352941,1.1348835995471196
K00791.01,CFRM,0.03452951225188227,5.1497,6105.6,Gas Giant,Kepler-682 b,0.40121408150470217,0.00018231200757077234,G,0,2.9529411764705884,0.9936822173231601
K00813.01,CFRM,0.010666492881587953,2.3111,8544.8,Gas Giant,Kepler-688 b,0.33791044514106583,0.00018083380210398228,G,0,3.9411764705882355,0.8552605034590947
K00801.01,CFRM,0.004450437163586585,2.38963,7969.0,Gas Giant,Kepler-685 b,0.4828539435736678,0.00023971565319778578,G,1,6.192156862745098,0.9378356747406061
K00806.02,CFRM,0.16516069037645448,6.6188,20280.0,Gas Giant,Kepler-30 c,0.3785120877742947,0.00030032207733617767,G,0,1.611764705882353,0.9877674030056081
K00830.01,CFRM,0.0096526558220397,2.59959,22335.0,Gas Giant,Kepler-428 b,0.3462054043887147,0.00028529365509047887,K,1,3.823529411764706,0.8573593130529376
K00824.01,CFRM,0.04209616342231348,3.3169,15337.0,Gas Giant,Kepler-693 b,0.3636684764890282,0.00027125070315597345,K,1,2.3529411764705883,0.7941572370301525
K00840.01,CFRM,0.008323971143052703,1.8411,10859.0,Gas Giant,Kepler-695 b,0.34533225078369906,0.00022148445244070855,K,1,4.003921568627451,0.7550391343682854
K00850.01,CFRM,0.028819423901437373,2.5211,9768.0,Gas Giant,Kepler-702 b,0.3462054043887147,0.000203006884105833,G,0,2.796078431372549,0.8206592514236921
K00851.01,CFRM,0.012548996435318276,2.7055,3812.1,Gas Giant,Kepler-703 b,0.38287785579937306,0.0001327921244333058,G,0,4.070588235294117,0.9741272263694166
K00872.01,CFRM,0.09199516416153321,4.4056,7425.9,Gas Giant,Kepler-46 b,0.4060164263322884,0.0002084269708173965,K,1,1.9411764705882353,0.8842649116616544
K00890.01,CFRM,0.022173549787816563,4.20241,6911.1,Gas Giant,Kepler-714 b,0.4697566394984326,0.00022049898212951515,F,0,3.8666666666666667,1.1701486549733375
K00903.01,CFRM,0.013709285861738535,4.2362,6932.3,Gas Giant,Kepler-719 b,0.3610490156739812,0.00017147183414764535,G,0,3.9137254901960783,0.913329560722708
K00897.01,CFRM,0.005619027745379876,2.0778,14281.0,Gas Giant,Kepler-718 b,0.47150294670846393,0.0003232342620714234,G,1,5.870588235294117,1.0530864046757626
