toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_dist,st_teff,st_logg,st_rad
1000.01,50365310,FP,07h29m25.85s,112.357708,-12d41m45.46s,-12.69596,-5.964,-0.076,2459229.63,2.1713484,2.0172196,656.8860989,5.8181633,22601.94858,3127.204052,485.735,10249,4.19,2.16986
1001.01,88863718,PC,08h10m19.31s,122.580465,-05d30m49.87s,-5.513852,-4.956,-15.555,2459250.065,1.931671,3.18,1030,10.3168,42432.8,3998,295.862,7070,4.03,2.01
1002.01,124709665,FP,06h58m54.47s,104.726966,-10d34m49.64s,-10.580455,-1.462,-2.249,2459202.278,1.8675878,2.2118642,1657.147109,36.4328722,20641.4457,3057.065736,943.109,8924,,5.73255
1003.01,106997505,FP,07h22m14.39s,110.559945,-25d12m25.26s,-25.207017,-0.939,1.64,2458493.396,2.74323,3.167,383.41,,1177.36,1631,7728.17,5388.5,4.15,
1004.01,238597883,FP,08h08m42.77s,122.178195,-48d48m10.12s,-48.802811,-4.496,9.347,2459229.549,3.5775748,2.9347085,501.6028767,5.050111,8092.969136,2419.060447,356.437,9219,4.14,2.1504
1005.01,169904935,FP,08h02m49.15s,120.704811,-11d06m05.48s,-11.101521,-26.932,-2.901,2458492.555,4.55072,2.599,3620,6.54449,254.05,1112,100.711,5613,,1.09
1006.01,156115721,FP,08h17m26.22s,124.359239,-27d16m24.68s,-27.273521,-29.1,-6.8,2459229.985,2.5047918,4.3797563,2270.540219,8.6950898,1750.932635,1649.82207,,6616,,1.53429
1007.01,65212867,PC,07h31m00.57s,112.752393,-04d27m48.09s,-4.463359,0.357,3.399,2459247.931,6.9989206,3.953,2840,14.7752,448.744,1282,283.291,6596,3.71,2.7
1008.01,440801822,FP,07h17m31.88s,109.382839,+13d23m42.79s,13.395219,-17.9,1.3,2458492.521,2.04936,2.234,249.5,1.71607,2107.05,1887,144.297,6858.5,4.2,0.99
1009.01,107782586,PC,07h26m40.28s,111.667845,-24d27m43.6s,-24.462111,-3.297,4.849,2459252.751,1.9600296,1.842,2100,,26538.5,3555,866.147,8868.7,,
