pl_name,pl_orbeccen
11 Com b,0.231000
11 UMi b,0.080000
14 And b,0.000000
14 Her b,0.370000
16 Cyg B b,0.680000
17 Sco b,0.060000
18 Del b,0.080000
1RXS J160929.1-210524 b,
24 Boo b,0.042000
24 Sex b,0.090000
24 Sex c,0.290000
2M0437 b,
2MASS J01033563-5515561 AB b,
2MASS J01225093-2439505 b,
2MASS J02192210-3925225 b,
2MASS J04414489+2301513 b,
2MASS J12073346-3932539 b,
2MASS J19383260+4603591 b,
2MASS J21402931+1625183 A b,0.260000
2MASS J22362452+4751425 b,
30 Ari B b,0.290000
4 UMa b,0.432000
42 Dra b,0.380000
47 UMa b,0.032000
47 UMa c,0.098000
47 UMa d,0.160000
51 Eri b,0.450000
51 Peg b,0.013000
55 Cnc b,0.000000
55 Cnc c,0.030000
55 Cnc d,0.130000
55 Cnc e,0.050000
55 Cnc f,0.080000
6 Lyn b,0.073000
61 Vir b,0.120000
61 Vir c,0.140000
61 Vir d,0.350000
7 CMa b,0.060000
7 CMa c,0.080000
70 Vir b,0.398800
75 Cet b,0.117000
8 UMi b,0.060000
81 Cet b,0.206000
91 Aqr b,0.027000
AB Pic b,
AU Mic b,0.000000
AU Mic c,0.000000
BD+03 2562 b,0.200000
BD+14 4559 b,0.290000
BD+15 2375 b,0.001000
BD+15 2940 b,0.260000
BD+20 2457 b,0.150000
BD+20 2457 c,0.180000
BD+20 274 b,0.210000
BD+20 594 b,0.000000
BD+45 564 b,0.120000
BD+48 738 b,0.200000
BD+48 740 b,0.760000
BD+49 828 b,0.350000
BD+55 362 b,0.270000
BD+60 1417 b,
BD+63 1405 b,0.880000
BD-00 4475 b,0.390000
BD-06 1339 b,0.000000
BD-06 1339 c,0.310000
BD-08 2823 b,0.150000
BD-08 2823 c,0.190000
BD-10 3166 b,0.020000
BD-11 4672 b,0.050000
BD-11 4672 c,0.400000
BD-13 2130 b,0.210000
BD-17 63 b,0.540000
CD Cet b,
CFBDSIR J145829+101343 b,
CFHTWIR-Oph 98 b,
CHXR 73 b,
CI Tau b,0.250000
COCONUTS-2 b,
CT Cha b,
CoRoT-1 b,0.000000
CoRoT-10 b,0.530000
CoRoT-11 b,0.000000
CoRoT-12 b,0.070000
CoRoT-13 b,0.000000
CoRoT-14 b,0.000000
CoRoT-16 b,0.330000
CoRoT-17 b,0.000000
CoRoT-18 b,0.080000
CoRoT-19 b,0.047000
CoRoT-2 b,0.014300
CoRoT-20 b,0.590000
CoRoT-20 c,0.600000
CoRoT-21 b,0.000000
CoRoT-22 b,0.077000
CoRoT-23 b,0.160000
CoRoT-24 b,0.000000
CoRoT-24 c,0.000000
CoRoT-25 b,0.000000
CoRoT-26 b,0.000000
CoRoT-27 b,0.065000
CoRoT-28 b,0.047000
CoRoT-29 b,0.082000
CoRoT-3 b,0.000000
CoRoT-30 b,0.007000
CoRoT-31 b,0.020000
CoRoT-4 b,0.000000
CoRoT-5 b,0.090000
CoRoT-6 b,0.100000
CoRoT-7 b,0.000000
CoRoT-7 c,0.000000
CoRoT-8 b,0.000000
CoRoT-9 b,0.133000
CoRoTID 223977153 b,
DE CVn b,0.000000
DENIS-P J082303.1-491201 b,0.345000
DH Tau b,
DMPP-1 b,0.083000
DMPP-1 c,0.057000
DMPP-1 d,0.070000
DMPP-1 e,0.070000
DMPP-2 b,0.078000
DMPP-3 A b,0.140000
DP Leo b,0.390000
DS Tuc A b,0.000000
EPIC 201170410.02,0.000000
EPIC 201238110 b,
EPIC 201427007 b,
EPIC 201497682 b,
EPIC 201595106 b,
EPIC 201615463 c,
EPIC 201754305 d,
EPIC 201757695.02,0.000000
EPIC 201833600 c,
EPIC 201841433 b,
EPIC 205950854 c,
EPIC 206024342 b,
EPIC 206024342 c,
EPIC 206024342 d,
EPIC 206032309 b,
EPIC 206042996 b,
EPIC 206042996 c,
EPIC 206215704 b,
EPIC 206317286 b,
EPIC 211822797 b,0.060000
EPIC 211945201 b,0.000000
EPIC 212297394 b,
EPIC 212297394 c,
EPIC 212424622 b,
EPIC 212499991 b,
EPIC 212587672 b,
EPIC 212587672 c,
EPIC 212624936 b,
EPIC 212624936 c,
EPIC 212737443 b,0.200000
EPIC 212737443 c,0.200000
EPIC 220492298 b,
EPIC 220554210 c,
EPIC 220674823 b,0.000000
EPIC 220674823 c,0.180000
EPIC 228836835 b,
EPIC 246851721 b,
EPIC 248847494 b,0.000000
