pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2
11 Com b,11 Com,b,2,1,0,2007,0,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,12.100,,,0,1.080,,,0,6165.60000,476.70000,-476.70000,0,19.40000,1.50000,-1.50000,0,Msini,19.100000,,,0,,,,,,,,,G8 III,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,-0.350,0.090,-0.090,0,[Fe/H],2.243,0.071,-0.085,0,2.31,0.10,-0.10,0,,,,,,,,,1.2000,1.0000,-1.0000,0,,,,,43.37,0.21,-0.21,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.42177,140.3836266,0.3013952,-0.3013952,-109.2410000,0.3161070,-0.3161070,88.1701000,0.2772970,-0.2772970,93.1846000,1.9238000,-1.9238000,10.7104000,0.2197390,-0.2197390
11 UMi b,11 UMi,b,1,1,0,2009,0,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,12.300,,,0,1.090,,,0,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,Msini,13.800000,,,0,,,,,,,,,K4 III,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.020,,,0,[Fe/H],2.430,0.008,-0.008,0,1.93,0.07,-0.07,0,1.560,0.540,-0.540,0,,,,,1.5000,,,0,,,,,-17.52,0.15,-0.15,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.71900,74.95821,141.64699,10.6790187,0.2188062,-0.2188062,3.4299600,0.2318220,-0.2318220,10.1132000,0.2172590,-0.2172590,125.3210000,1.9765000,-1.9765000,7.9538800,0.1248570,-0.1248570
14 And b,14 And,b,1,1,0,2008,0,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,12.900,,,0,1.150,,,0,1525.50000,,,0,4.80000,,,0,Msini,3.900000,,,0,,,,,,,,,K0 III,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,-0.240,0.030,-0.030,0,[Fe/H],1.763,,,0,2.63,0.07,-0.07,0,4.500,1.900,-1.900,0,,,,,2.6000,,,0,,,,,-59.73,0.31,-0.31,0,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,-21.05141,106.41269,38.22901,11.96322,299.2526179,0.1826842,-0.1826842,287.2920000,0.1857800,-0.1857800,-83.7582000,0.1412560,-0.1412560,75.4392000,0.7140000,-0.7140000,13.2289000,0.1245010,-0.1245010
14 Her b,14 Her,b,1,2,0,2002,0,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,12.900,,,0,1.150,,,0,1481.08780,47.67450,-47.67450,0,4.66000,0.15000,-0.15000,0,Msini,3.790000,,,0,,,,,,,,,K0 V,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.90,0.04,-0.04,0,0.410,,,0,[Fe/H],-0.153,0.012,-0.010,0,4.45,0.02,-0.02,0,3.900,,,0,1.27393,0.34953,-0.30728,0,1.0000,,,1,,,,,-13.82,0.00,0.00,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,62.87885,223.25104,324.5303062,0.0424169,-0.0424169,132.0190000,0.0385189,-0.0385189,-296.4640000,0.0431481,-0.0431481,17.9323000,0.0073000,-0.0073000,55.7363000,0.0225960,-0.0225960
16 Cyg B b,16 Cyg B,b,3,1,0,1996,0,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,13.500,,,0,1.200,,,0,565.73740,25.42640,-25.42640,0,1.78000,0.08000,-0.08000,0,Msini,1.260000,,,0,,,,,,,,,G3 V,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.060,,,0,[Fe/H],0.097,0.009,-0.013,0,4.36,0.01,-0.01,0,7.400,0.100,-0.100,0,1.01103,0.29273,-0.20081,0,2.7000,1.0000,-1.0000,0,,,,,-28.10,0.10,-0.10,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,69.46803,321.21563,211.1222128,0.0468803,-0.0468803,-134.7910000,0.0494634,-0.0494634,-162.4930000,0.0450169,-0.0450169,21.1397000,0.0110000,-0.0111000,47.2754000,0.0245316,-0.0245316
17 Sco b,17 Sco,b,1,1,0,2020,0,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,12.900,,,0,1.150,,,0,1373.01872,47.67426,-38.13941,0,4.32000,0.15000,-0.12000,0,Msini,3.510000,,,0,,,,,,,,,K3 III,4157.00,11.00,-10.00,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,-0.010,0.100,-0.100,0,[Fe/H],2.254,0.026,-0.024,0,1.70,0.04,-0.06,0,5.130,2.120,-1.330,0,,,,,3.9800,1.1100,-1.1100,0,329.49,92.40,-92.40,1,,,,,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,27.34301,1.30262,9.21181,243.70449,10.6681995,0.2982626,-0.2982626,-5.6298300,0.3204870,-0.3204870,-9.0617600,0.2892280,-0.2892280,124.9530000,2.5900000,-2.5900000,7.9805000,0.1645430,-0.1645430
18 Del b,18 Del,b,2,1,0,2008,0,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,12.500,,,0,1.110,,,0,3273.50000,,,0,10.30000,,,0,Msini,9.210000,,,0,,,,,,,,,G6 III,4979.00,18.00,-18.00,0,8.50,,,0,2.30,,,0,-0.052,0.023,-0.023,0,[Fe/H],1.602,,,0,2.82,0.06,-0.06,0,1.100,0.100,-0.100,0,,,,,,,,,,,,,4.35,0.15,-0.15,0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,-21.97480,58.69121,26.78678,320.59093,60.6038527,0.1566766,-0.1566766,-50.0335000,0.1473660,-0.1473660,-34.1976000,0.1749490,-0.1749490,76.2220000,0.6217000,-0.6217000,13.0922000,0.1061930,-0.1061930
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,0,2008,0,,,,,330.000000,,,0,18.647,,,0,1.664,,,0,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,Mass,2.540000,,,0,1700,100,-100,0,,,,,K7 V,4060.00,300.00,-200.00,0,1.31,0.18,-0.10,0,0.85,0.20,-0.10,0,,,,,,-0.370,0.150,-0.150,0,4.00,0.14,-0.10,0,0.005,,,0,0.38789,0.18019,-0.10697,0,,,,,,,,,,,,,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,22.03031,352.89050,-0.06852,244.36567,25.3771704,0.0887954,-0.0887954,-10.2743000,0.1120280,-0.1120280,-23.2043000,0.0834861,-0.0834861,139.1350000,1.3320000,-1.3070000,7.1594900,0.0676472,-0.0676472
24 Boo b,24 Boo,b,1,1,0,2018,0,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,13.900,,,0,1.240,,,0,289.22530,41.31790,-31.78300,0,0.91000,0.13000,-0.10000,0,Msini,0.592000,,,0,,,,,,,,,G3 IV,4893.00,15.00,-15.00,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,-0.770,0.030,-0.030,0,[Fe/H],1.774,0.047,-0.053,0,2.42,0.10,-0.10,0,6.920,4.830,-2.750,0,,,,,3.3600,,,0,,,,,-7.77,0.15,-0.15,0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,60.64470,90.16373,58.88795,185.92343,307.6469784,0.0965492,-0.0965492,-304.0640000,0.0962139,-0.0962139,-46.8161000,0.1097630,-0.1097630,95.9863000,0.6368500,-0.6368500,10.3900000,0.0685994,-0.0685994
24 Sex b,24 Sex,b,1,2,0,2010,0,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,13.400,,,0,1.190,,,0,632.46000,82.63000,-120.77000,0,1.99000,0.26000,-0.38000,0,Msini,1.440000,,,0,,,,,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],1.164,0.003,-0.003,0,3.50,0.10,-0.10,0,2.700,0.400,-0.400,0,,,,,2.7700,0.5000,-0.5000,0,,,,,7.29,0.18,-0.18,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,44.71580,245.08569,-10.19818,157.99391,74.6277468,0.1879011,-0.1879011,65.2199000,0.1667310,-0.1667310,-36.2721000,0.2440890,-0.2440890,72.0691000,0.6854000,-0.6728000,13.8488000,0.1297560,-0.1297560
