pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_eqt,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx
11 Com b,11 Com,b,2,1,0,2007,0,326.03000000,1.290000,12.100,1.080,6165.60000,19.40000,Msini,19.100000,,,G8 III,4742.00,19.00,2.70,-0.350,[Fe/H],2.243,2.31,,,1.2000,,43.37,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.42177,140.3836266,-109.2410000,88.1701000,93.1846000,10.7104000
11 UMi b,11 UMi,b,1,1,0,2009,0,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,Msini,13.800000,,,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],2.430,1.93,1.560,,1.5000,,-17.52,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.71900,74.95821,141.64699,10.6790187,3.4299600,10.1132000,125.3210000,7.9538800
14 And b,14 And,b,1,1,0,2008,0,185.84000000,0.830000,12.900,1.150,1525.50000,4.80000,Msini,3.900000,,,K0 III,4813.00,11.00,2.20,-0.240,[Fe/H],1.763,2.63,4.500,,2.6000,,-59.73,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,-21.05141,106.41269,38.22901,11.96322,299.2526179,287.2920000,-83.7582000,75.4392000,13.2289000
14 Her b,14 Her,b,1,2,0,2002,0,1773.40002000,2.930000,12.900,1.150,1481.08780,4.66000,Msini,3.790000,,,K0 V,5338.00,0.93,0.90,0.410,[Fe/H],-0.153,4.45,3.900,1.27393,1.0000,,-13.82,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,62.87885,223.25104,324.5303062,132.0190000,-296.4640000,17.9323000,55.7363000
16 Cyg B b,16 Cyg B,b,3,1,0,1996,0,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,Msini,1.260000,,,G3 V,5750.00,1.13,1.08,0.060,[Fe/H],0.097,4.36,7.400,1.01103,2.7000,,-28.10,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,69.46803,321.21563,211.1222128,-134.7910000,-162.4930000,21.1397000,47.2754000
17 Sco b,17 Sco,b,1,1,0,2020,0,578.38000000,1.450000,12.900,1.150,1373.01872,4.32000,Msini,3.510000,,,K3 III,4157.00,25.92,1.22,-0.010,[Fe/H],2.254,1.70,5.130,,3.9800,329.49,,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,27.34301,1.30262,9.21181,243.70449,10.6681995,-5.6298300,-9.0617600,124.9530000,7.9805000
18 Del b,18 Del,b,2,1,0,2008,0,993.30000000,2.600000,12.500,1.110,3273.50000,10.30000,Msini,9.210000,,,G6 III,4979.00,8.50,2.30,-0.052,[Fe/H],1.602,2.82,1.100,,,,4.35,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,-21.97480,58.69121,26.78678,320.59093,60.6038527,-50.0335000,-34.1976000,76.2220000,13.0922000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,0,2008,0,,330.000000,18.647,1.664,3000.00000,8.00000,Mass,2.540000,1700,,K7 V,4060.00,1.31,0.85,,,-0.370,4.00,0.005,0.38789,,,,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,22.03031,352.89050,-0.06852,244.36567,25.3771704,-10.2743000,-23.2043000,139.1350000,7.1594900
24 Boo b,24 Boo,b,1,1,0,2018,0,30.35060000,0.190000,13.900,1.240,289.22530,0.91000,Msini,0.592000,,,G3 IV,4893.00,10.64,0.99,-0.770,[Fe/H],1.774,2.42,6.920,,3.3600,,-7.77,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,60.64470,90.16373,58.88795,185.92343,307.6469784,-304.0640000,-46.8161000,95.9863000,10.3900000
24 Sex b,24 Sex,b,1,2,0,2010,0,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,Msini,1.440000,,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,7.29,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,44.71580,245.08569,-10.19818,157.99391,74.6277468,65.2199000,-36.2721000,72.0691000,13.8488000
24 Sex c,24 Sex,c,1,2,0,2010,0,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,Msini,0.559000,,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,7.29,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,44.71580,245.08569,-10.19818,157.99391,74.6277468,65.2199000,-36.2721000,72.0691000,13.8488000
2M0437 b,2M0437,b,1,1,0,2021,0,,118.000000,13.000,1.160,1271.31363,4.00000,Mass,3.180000,1450,,M V,3100.00,0.84,0.17,0.010,[Fe/H],-1.164,4.50,2.500,3.32018,22.5400,1.84,17.10,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,-13.44593,172.81975,4.72193,71.58800,28.3362604,8.6344500,-26.9887000,128.4840000,7.7552400
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2,1,0,2013,0,,84.000000,12.300,1.100,4131.79000,13.00000,Mass,12.200000,,,M5.5/M6,,,0.19,,,,,0.030,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,-61.77586,299.26888,-54.69414,341.46812,,,,47.2000000,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,0,2013,0,,52.000000,11.209,1.000,7786.50000,24.50000,Mass,30.400000,1600,,M3.5 V,3530.00,0.37,0.40,,,-1.720,4.86,0.120,10.11868,,,9.60,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,-82.51990,195.45385,-30.71197,8.62267,172.4426671,120.4550000,-123.3980000,33.8281000,29.5326000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,0,2015,0,,156.000000,16.141,1.440,4417.83700,13.90000,Mass,5.770000,,,M6,3064.00,0.28,0.11,,,-2.230,4.59,0.035,17.67076,6.5000,,10.60,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,-67.98402,252.45343,-49.30514,13.50901,109.6000000,103.6000000,-35.9000000,40.0896412,24.9440995
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,0,2010,0,,15.000000,12.600,1.130,2383.60000,7.50000,Mass,6.550000,,,M8.5,2936.00,0.23,0.02,,,-2.444,5.01,0.001,22.78110,,,,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,-15.11435,176.51065,0.80236,72.05025,23.2000000,9.0000000,-21.4000000,120.4239870,8.3039935
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,0,2004,0,,55.000000,12.900,1.150,1589.15000,5.00000,Mass,4.070000,1250,,M8,2825.00,0.22,0.02,,,-2.561,5.03,0.008,25.27945,,,,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,22.54309,293.79011,-35.03506,199.74342,68.3315134,-64.0825000,-23.7198000,64.3080000,15.5242000
