plntname,centralwavelng,bandwidth,plntransdep,plnradj,plnratror,plntranmid
WASP-12 b,0.3350,0.0900,,,0.12135,2454508.977005
WASP-12 b,0.4050,0.0500,,,0.12000,2454508.977005
WASP-12 b,0.5020,0.0440,,,0.12022,2454508.977005
WASP-12 b,0.5470,0.0460,,,0.12067,2454508.977005
WASP-12 b,0.5550,0.0500,,,0.11973,2454508.977005
WASP-12 b,0.6050,0.0500,,,0.12012,2454508.977005
WASP-12 b,0.6550,0.0500,,,0.12033,2454508.977005
WASP-12 b,0.7050,0.0500,,,0.11925,2454508.977005
WASP-12 b,0.7600,0.0600,,,0.11951,2454508.977005
WASP-12 b,0.8200,0.0600,,,0.11947,2454508.977005
WASP-12 b,0.9400,0.1800,,,0.11967,2454508.977005
WASP-12 b,1.1630,0.0520,,,0.11975,2454508.977005
WASP-12 b,1.2150,0.0520,,,0.11902,2454508.977005
WASP-12 b,1.2670,0.0520,,,0.11912,2454508.977005
WASP-12 b,1.3190,0.0520,,,0.11829,2454508.977005
WASP-12 b,1.3710,0.0520,,,0.11977,2454508.977005
WASP-12 b,1.4230,0.0520,,,0.11913,2454508.977005
WASP-12 b,1.4750,0.0520,,,0.11926,2454508.977005
WASP-12 b,1.5270,0.0520,,,0.11989,2454508.977005
WASP-12 b,1.5790,0.0520,,,0.11849,2454508.977005
WASP-12 b,1.6310,0.0520,,,0.11830,2454508.977005
WASP-12 b,3.6000,,,,0.11722,2454508.977005
WASP-12 b,4.5000,,,,0.11773,2454508.977005
HAT-P-1 b,1.1269,,,,0.11656,2456114.345307
HAT-P-1 b,1.1461,,,,0.11632,2456114.345307
HAT-P-1 b,1.1653,,,,0.11643,2456114.345307
HAT-P-1 b,1.1845,,,,0.11493,2456114.345307
HAT-P-1 b,1.2037,,,,0.11640,2456114.345307
HAT-P-1 b,1.2229,,,,0.11715,2456114.345307
HAT-P-1 b,1.2421,,,,0.11656,2456114.345307
HAT-P-1 b,1.2613,,,,0.11528,2456114.345307
HAT-P-1 b,1.2805,,,,0.11639,2456114.345307
HAT-P-1 b,1.2997,,,,0.11519,2456114.345307
HAT-P-1 b,1.3189,,,,0.11651,2456114.345307
HAT-P-1 b,1.3381,,,,0.11744,2456114.345307
HAT-P-1 b,1.3573,,,,0.11656,2456114.345307
HAT-P-1 b,1.3765,,,,0.11726,2456114.345307
HAT-P-1 b,1.3957,,,,0.11716,2456114.345307
HAT-P-1 b,1.4149,,,,0.11807,2456114.345307
HAT-P-1 b,1.4341,,,,0.11780,2456114.345307
HAT-P-1 b,1.4533,,,,0.11719,2456114.345307
HAT-P-1 b,1.4725,,,,0.11823,2456114.345307
HAT-P-1 b,1.4917,,,,0.11731,2456114.345307
HAT-P-1 b,1.5109,,,,0.11798,2456114.345307
HAT-P-1 b,1.5301,,,,0.11737,2456114.345307
HAT-P-1 b,1.5493,,,,0.11650,2456114.345307
HAT-P-1 b,1.5685,,,,0.11605,2456114.345307
HAT-P-1 b,1.5877,,,,0.11466,2456114.345307
HAT-P-1 b,1.6069,,,,0.11616,2456114.345307
HAT-P-1 b,1.6261,,,,0.11474,2456114.345307
HAT-P-1 b,1.6453,,,,0.11571,2456114.345307
CoRoT-1 b,0.8600,0.1755,,,0.13890,
CoRoT-1 b,0.9800,0.1755,,,0.14500,
CoRoT-1 b,1.0830,0.1755,,,0.14480,
CoRoT-1 b,1.2590,0.1755,,,0.14400,
CoRoT-1 b,1.4340,0.1755,,,0.14740,
CoRoT-1 b,1.6100,0.1755,,,0.14150,
CoRoT-1 b,1.7860,0.1755,,,0.14260,
CoRoT-1 b,1.9610,0.1755,,,0.14310,
CoRoT-1 b,2.1370,0.1755,,,0.14400,
CoRoT-1 b,2.3120,0.1755,,,0.14700,
GJ 436 b,1.1360,,0.696600,,,2456226.691310
GJ 436 b,1.1550,,0.699400,,,2456226.691310
GJ 436 b,1.1740,,0.692400,,,2456226.691310
GJ 436 b,1.1930,,0.687200,,,2456226.691310
GJ 436 b,1.2110,,0.696800,,,2456226.691310
GJ 436 b,1.2300,,0.704600,,,2456226.691310
GJ 436 b,1.2490,,0.703600,,,2456226.691310
GJ 436 b,1.2680,,0.696700,,,2456226.691310
GJ 436 b,1.2890,,0.686900,,,2456226.691310
GJ 436 b,1.3060,,0.704300,,,2456226.691310
GJ 436 b,1.3240,,0.686900,,,2456226.691310
GJ 436 b,1.3430,,0.704600,,,2456226.691310
GJ 436 b,1.3620,,0.705700,,,2456226.691310
GJ 436 b,1.3810,,0.700600,,,2456226.691310
GJ 436 b,1.4000,,0.703600,,,2456226.691310
GJ 436 b,1.4190,,0.707200,,,2456226.691310
GJ 436 b,1.4380,,0.703000,,,2456226.691310
GJ 436 b,1.4560,,0.704400,,,2456226.691310
GJ 436 b,1.4750,,0.694800,,,2456226.691310
GJ 436 b,1.4940,,0.700800,,,2456226.691310
GJ 436 b,1.5130,,0.705700,,,2456226.691310
GJ 436 b,1.5320,,0.702200,,,2456226.691310
GJ 436 b,1.5510,,0.701800,,,2456226.691310
GJ 436 b,1.5700,,0.701000,,,2456226.691310
GJ 436 b,1.5880,,0.695900,,,2456226.691310
GJ 436 b,1.6070,,0.699400,,,2456226.691310
GJ 436 b,1.6260,,0.698400,,,2456226.691310
GJ 436 b,1.6450,,0.691600,,,2456226.691310
GJ 1214 b,0.8100,,,,0.12038,2455426.422923
GJ 1214 b,0.8550,,,,0.11042,2455350.563492
GJ 1214 b,0.8770,,,,0.11843,2455437.487593
GJ 1214 b,0.8770,,,,0.11754,2455723.539027
GJ 1214 b,0.8784,,,,0.11724,2455399.556041
GJ 1214 b,0.8835,,,,0.11556,2455437.487593
GJ 1214 b,0.8835,,,,0.11791,2455723.539027
GJ 1214 b,0.8850,,,,0.11595,2455399.556041
GJ 1214 b,3.6000,,,0.257,0.11638,2454980.749000
GJ 1214 b,4.5000,,,0.258,0.11694,2454980.749000
HAT-P-12 b,1.1080,,,,0.13788,
HAT-P-12 b,1.1320,,,,0.13708,
HAT-P-12 b,1.1550,,,,0.13737,
HAT-P-12 b,1.1790,,,,0.13824,
HAT-P-12 b,1.2020,,,,0.13921,
HAT-P-12 b,1.2260,,,,0.13671,
HAT-P-12 b,1.2500,,,,0.13572,
HAT-P-12 b,1.2730,,,,0.13755,
HAT-P-12 b,1.2970,,,,0.13874,
HAT-P-12 b,1.3200,,,,0.13646,
HAT-P-12 b,1.3440,,,,0.13744,
HAT-P-12 b,1.3670,,,,0.13689,
HAT-P-12 b,1.3910,,,,0.13820,
HAT-P-12 b,1.4140,,,,0.13733,
HAT-P-12 b,1.4380,,,,0.13737,
HAT-P-12 b,1.4620,,,,0.13914,
HAT-P-12 b,1.4850,,,,0.13704,
HAT-P-12 b,1.5090,,,,0.13439,
HAT-P-12 b,1.5320,,,,0.13431,
HAT-P-12 b,1.5560,,,,0.13494,
HAT-P-12 b,1.5790,,,,0.13612,
HAT-P-12 b,1.6030,,,,0.13835,
HAT-P-12 b,1.6270,,,,0.13620,
HAT-P-16 b,0.3600,0.1140,,,0.10586,2456290.657790
HD 97658 b,1.1320,0.0190,0.092600,,,2456665.466780
HD 97658 b,1.1510,0.0180,0.091100,,,2456665.466780
HD 97658 b,1.1700,0.0210,0.093000,,,2456665.466780
HD 97658 b,1.1880,0.0180,0.092700,,,2456665.466780
HD 97658 b,1.2070,0.0190,0.092400,,,2456665.466780
HD 97658 b,1.2260,0.0190,0.091100,,,2456665.466780
HD 97658 b,1.2450,0.0190,0.090600,,,2456665.466780
HD 97658 b,1.2640,0.0190,0.094900,,,2456665.466780
HD 97658 b,1.2830,0.0190,0.096500,,,2456665.466780
HD 97658 b,1.3010,0.0180,0.096700,,,2456665.466780
HD 97658 b,1.3200,0.0190,0.096000,,,2456665.466780
HD 97658 b,1.3390,0.0190,0.094700,,,2456665.466780
HD 97658 b,1.3580,0.0190,0.094500,,,2456665.466780
HD 97658 b,1.3770,0.0190,0.093200,,,2456665.466780
HD 97658 b,1.3960,0.0190,0.092300,,,2456665.466780
HD 97658 b,1.4150,0.0190,0.092600,,,2456665.466780
HD 97658 b,1.4330,0.0180,0.098400,,,2456665.466780
HD 97658 b,1.4520,0.0190,0.094800,,,2456665.466780
HD 97658 b,1.4710,0.0190,0.096600,,,2456665.466780
HD 97658 b,1.4900,0.0190,0.094900,,,2456665.466780
HD 97658 b,1.5090,0.0190,0.096900,,,2456665.466780
HD 97658 b,1.5280,0.0190,0.097500,,,2456665.466780
HD 97658 b,1.5460,0.0180,0.095200,,,2456665.466780
HD 97658 b,1.5650,0.0190,0.094300,,,2456665.466780
HD 97658 b,1.5840,0.1140,0.097000,,,2456665.466780
HD 97658 b,1.6030,0.1140,0.098100,,,2456665.466780
HD 97658 b,1.6220,0.1140,0.097500,,,2456665.466780
HD 97658 b,1.1410,0.1140,0.096500,,,2456665.466780
WASP-6 b,0.6700,0.3800,,,0.14040,2455473.653650
WASP-6 b,0.4823,0.2090,,,0.14300,2455473.653650
WASP-6 b,0.5031,0.1880,,,0.13750,2455473.653650
WASP-6 b,0.5201,0.1730,,,0.14060,2455473.653650
WASP-6 b,0.5378,0.1800,,,0.14000,2455473.653650
WASP-6 b,0.5558,0.1790,,,0.13930,2455473.653650
WASP-6 b,0.5758,0.2230,,,0.13890,2455473.653650
WASP-6 b,0.5958,0.1760,,,0.13920,2455473.653650
WASP-6 b,0.6158,0.2230,,,0.13800,2455473.653650
WASP-6 b,0.6361,0.1850,,,0.13850,2455473.653650
WASP-6 b,0.6547,0.1850,,,0.13900,2455473.653650
WASP-6 b,0.6744,0.1910,,,0.13800,2455473.653650
WASP-6 b,0.6943,0.2250,,,0.13850,2455473.653650
WASP-6 b,0.7135,0.1600,,,0.13730,2455473.653650
WASP-6 b,0.7315,0.2000,,,0.13480,2455473.653650
WASP-6 b,0.7488,0.1470,,,0.13610,2455473.653650
WASP-6 b,0.7648,0.1720,,,0.13590,2455473.653650
WASP-6 b,0.7861,0.2540,,,0.13530,2455473.653650
WASP-6 b,0.8097,0.2170,,,0.13680,2455473.653650
WASP-6 b,0.8305,0.2000,,,0.13910,2455473.653650
WASP-6 b,0.8517,0.2250,,,0.13960,2455473.653650
