iter	Logloss
0	0.6775613401
1	0.662618851
2	0.6480176417
3	0.6351759896
4	0.6203959973
5	0.6083914615
6	0.5958731066
7	0.5852078879
8	0.5748213679
9	0.5643503811
10	0.5533931123
11	0.5447896439
12	0.5352793767
13	0.5277653215
14	0.5190472969
15	0.5102020844
16	0.5035179438
17	0.4955706156
18	0.4881384713
19	0.4806413982
20	0.4747576324
21	0.4681926427
22	0.4635859301
23	0.4581053261
24	0.4536325553
25	0.4485011886
26	0.4439251203
27	0.4385673918
28	0.4339946901
29	0.4295041397
30	0.4256141139
31	0.4215846648
32	0.4174155501
33	0.4143310886
34	0.411102353
35	0.4080270138
36	0.4050322563
37	0.4017235561
38	0.3982998172
39	0.3955361471
40	0.3923419913
41	0.3902080975
42	0.3871094395
43	0.3844395252
44	0.382245832
45	0.3796186593
46	0.3776795299
47	0.375174932
48	0.3731520676
49	0.371402001
50	0.3698099233
51	0.3677000792
52	0.36600583
53	0.3640158165
54	0.3622026376
55	0.360522121
56	0.3594699882
57	0.3575961065
58	0.3560608959
59	0.3546674508
60	0.3532096146
61	0.3520684954
62	0.3508470317
63	0.3496048006
64	0.3484902946
65	0.3471695331
66	0.3462274514
67	0.3450480628
68	0.3439117876
69	0.343128038
70	0.3421963723
71	0.3413983014
72	0.3404115511
73	0.3396922154
74	0.3386529368
75	0.3378516147
76	0.3369963719
77	0.3363085399
78	0.3353865878
79	0.3345413435
80	0.3337888979
81	0.3329968003
82	0.3322974551
83	0.3315552085
84	0.3309013417
85	0.330247933
86	0.3298420016
87	0.3292567324
88	0.3285232875
89	0.3280361169
90	0.3274123315
91	0.3267539223
92	0.3260502697
93	0.3256118836
94	0.3251115452
95	0.3247384166
96	0.3243319693
97	0.3237173168
98	0.3232501136
99	0.3227807405
100	0.3222547751
101	0.3218862254
102	0.3215259723
103	0.3209475057
104	0.3203731569
105	0.3197669509
106	0.3192904022
107	0.318858541
108	0.3184865048
109	0.3180338494
110	0.317702416
111	0.317421074
112	0.3169781252
113	0.3165656873
114	0.3161435949
115	0.3156208962
116	0.3153123495
117	0.314935298
118	0.3145826868
119	0.3142992451
120	0.3138469467
121	0.3134538677
122	0.3131809489
123	0.3127871887
124	0.3124685526
125	0.3122586197
126	0.3119088441
127	0.3115599234
