iter	Passed	Remaining
0	34	33993
1	62	31012
2	90	30232
3	122	30462
4	146	29172
5	172	28569
6	197	28044
7	229	28476
8	260	28646
9	285	28306
10	313	28162
11	342	28235
12	373	28321
13	400	28229
14	428	28131
15	461	28355
16	488	28257
17	515	28141
18	543	28052
19	574	28142
20	598	27907
21	626	27830
22	654	27800
23	680	27678
24	709	27657
25	738	27682
26	759	27367
27	801	27835
28	836	28021
29	874	28263
30	909	28430
31	936	28340
32	963	28247
33	992	28189
34	1022	28204
35	1051	28154
36	1076	28020
37	1102	27919
38	1131	27883
39	1157	27790
40	1185	27722
41	1214	27710
42	1243	27682
43	1272	27640
44	1298	27567
45	1330	27599
46	1361	27603
47	1385	27479
48	1416	27496
49	1452	27598
50	1481	27573
51	1509	27526
52	1535	27437
53	1564	27405
54	1592	27357
55	1619	27302
56	1648	27264
57	1676	27234
58	1703	27169
59	1732	27144
60	1762	27136
61	1788	27056
62	1815	27004
63	1842	26941
64	1874	26958
65	1902	26916
66	1929	26863
67	1955	26797
68	1984	26776
69	2013	26747
70	2040	26692
71	2068	26656
72	2100	26674
73	2126	26609
74	2154	26573
75	2181	26516
76	2215	26561
77	2244	26528
78	2270	26475
79	2298	26436
80	2326	26398
81	2354	26361
82	2381	26314
83	2413	26317
84	2438	26248
85	2466	26213
86	2496	26195
87	2525	26169
88	2552	26130
89	2576	26053
90	2605	26024
91	2635	26015
92	2664	25989
93	2692	25955
94	2722	25934
95	2754	25942
96	2779	25877
97	2808	25845
98	2841	25860
99	2869	25821
100	2895	25776
101	2922	25727
102	2952	25709
103	2982	25698
104	3010	25657
105	3038	25629
106	3067	25597
107	3094	25555
108	3121	25516
109	3152	25507
110	3179	25465
111	3211	25462
112	3237	25416
113	3269	25412
114	3297	25376
115	3325	25340
116	3353	25308
117	3387	25318
118	3412	25266
119	3440	25229
120	3470	25214
121	3500	25194
122	3526	25146
123	3553	25101
124	3580	25064
125	3609	25039
126	3638	25014
127	3665	24971
128	3694	24946
129	3721	24907
130	3750	24881
131	3777	24839
132	3806	24811
133	3832	24769
134	3859	24728
135	3887	24698
136	3919	24689
137	3947	24659
138	3977	24636
139	4002	24587
140	4036	24593
141	4065	24561
142	4093	24531
143	4119	24489
144	4150	24472
145	4176	24431
146	4207	24413
147	4240	24410
148	4266	24366
149	4294	24336
150	4320	24294
151	4350	24270
152	4379	24245
153	4406	24208
154	4432	24164
155	4460	24132
156	4491	24115
157	4517	24073
158	4545	24044
159	4577	24033
160	4604	23996
161	4631	23959
162	4658	23920
163	4688	23898
164	4714	23858
165	4742	23826
166	4769	23790
167	4799	23766
168	4826	23734
169	4852	23690
170	4880	23660
171	4908	23629
172	4936	23599
173	4964	23567
174	4997	23557
175	5026	23533
176	5053	23498
177	5081	23465
178	5111	23446
179	5141	23420
180	5169	23389
181	5199	23368
182	5318	23742
183	5385	23883
184	5412	23845
185	5443	23824
186	5470	23784
187	5496	23740
188	5523	23701
189	5551	23668
190	5580	23638
191	5604	23587
192	5637	23570
193	5666	23541
194	5692	23499
195	5719	23462
196	5745	23419
197	5777	23400
198	5803	23358
199	5831	23324
200	5857	23284
201	5888	23263
202	5916	23228
203	5944	23193
204	5976	23175
205	6001	23133
206	6029	23099
207	6056	23060
208	6085	23029
209	6114	23001
210	6142	22967
211	6169	22931
212	6200	22908
213	6230	22883
214	6257	22846
215	6283	22806
216	6315	22787
217	6343	22754
218	6374	22731
219	6402	22698
